,time_in_hospital,num_lab_procedures,num_procedures,num_medications,number_outpatient,number_emergency,number_inpatient,number_diagnoses,age_numeric,readmitted_binary
time_in_hospital,1.0,0.31845016879980775,0.19147166747028582,0.4661354174307734,-0.008915921090862648,-0.009680956797212476,0.07362255344226455,0.22018627765090604,0.10751491534252643,0.044199418457448264
num_lab_procedures,0.31845016879980775,1.0,0.05806557121908028,0.2681606251698741,-0.007602248904631788,-0.002279463645143348,0.03923106755326738,0.15277338096444187,0.020770311072742697,0.02036360256754271
num_procedures,0.19147166747028582,0.05806557121908028,1.0,0.38576727284854817,-0.024818740082131738,-0.03817925927991046,-0.06623606408431057,0.07373377306287603,-0.03010374135077588,-0.012226934251745175
num_medications,0.4661354174307734,0.2681606251698741,0.38576727284854817,1.0,0.04519734115117919,0.013179927892210218,0.06419442772789095,0.26152610525353953,0.04184702814371676,0.038431822165995395
number_outpatient,-0.008915921090862648,-0.007602248904631788,-0.024818740082131738,0.04519734115117919,1.0,0.0914586100306274,0.10733779927663656,0.0941520045897059,0.023724093113909314,0.018893470155426497
number_emergency,-0.009680956797212476,-0.002279463645143348,-0.03817925927991046,0.013179927892210218,0.0914586100306274,1.0,0.26655942882980044,0.05553862206313093,-0.08729060075874008,0.06074650014253794
number_inpatient,0.07362255344226455,0.03923106755326738,-0.06623606408431057,0.06419442772789095,0.10733779927663656,0.26655942882980044,1.0,0.10471031581646632,-0.0428606229941078,0.1651473777543391
number_diagnoses,0.22018627765090604,0.15277338096444187,0.07373377306287603,0.26152610525353953,0.0941520045897059,0.05553862206313093,0.10471031581646632,1.0,0.24259749137377437,0.04952421190568183
age_numeric,0.10751491534252643,0.020770311072742697,-0.03010374135077588,0.04184702814371676,0.023724093113909314,-0.08729060075874008,-0.0428606229941078,0.24259749137377437,1.0,0.01763432782165953
readmitted_binary,0.044199418457448264,0.02036360256754271,-0.012226934251745175,0.038431822165995395,0.018893470155426497,0.06074650014253794,0.1651473777543391,0.04952421190568183,0.01763432782165953,1.0
